fips_value,fips,cover
21209,21209,1.00
21211,21211,1.00
21213,21213,1.00
21215,21215,1.00
21217,21217,1.00
21219,21219,1.00
21221,21221,1.00
21223,21223,1.00
21225,21225,1.00
21227,21227,1.00
21229,21229,1.00
21231,21231,1.00
21233,21233,1.00
21235,21235,1.00
21237,21237,1.00
21239,21239,1.00
22001,22001,0.00
22003,22003,0.47
22005,22005,0.00
22007,22007,0.00
22009,22009,0.00
22011,22011,1.00
22013,22013,0.29
22015,22015,0.23
22017,22017,0.10
22019,22019,1.00
22021,22021,0.00
22023,22023,0.78
22025,22025,0.00
22027,22027,0.91
22029,22029,0.00
22031,22031,0.00
22033,22033,0.00
22035,22035,0.25
22037,22037,0.00
22039,22039,0.00
22041,22041,0.00
22043,22043,0.00
22045,22045,0.00
22047,22047,0.00
22049,22049,0.33
22051,22051,0.00
22053,22053,0.55
22055,22055,0.00
22057,22057,0.00
22059,22059,0.00
22061,22061,1.00
22063,22063,0.00
22065,22065,0.00
22067,22067,0.88
22069,22069,0.00
22071,22071,0.00
22073,22073,0.81
22075,22075,0.00
22077,22077,0.00
22079,22079,0.00
22081,22081,0.00
22083,22083,0.13
22085,22085,0.43
22087,22087,0.00
22089,22089,0.00
22091,22091,0.00
22093,22093,0.00
22095,22095,0.00
22097,22097,0.00
22099,22099,0.00
22101,22101,0.00
22103,22103,0.00
22105,22105,0.00
22107,22107,0.00
22109,22109,0.00
22111,22111,1.00
22113,22113,0.00
22115,22115,0.50
22117,22117,0.00
22119,22119,0.54
22121,22121,0.00
22123,22123,0.57
22125,22125,0.00
22127,22127,0.00
23001,23001,0.00
23003,23003,0.00
23005,23005,0.42
23007,23007,0.00
23009,23009,0.00
23011,23011,0.00
23013,23013,0.00
23015,23015,0.00
23017,23017,0.00
23019,23019,0.00
23021,23021,0.00
23023,23023,0.00
23025,23025,0.00
23027,23027,0.00
23029,23029,0.00
23031,23031,0.98
24001,24001,1.00
24003,24003,1.00
24005,24005,1.00
24009,24009,1.00
24011,24011,1.00
24013,24013,1.00
24015,24015,1.00
24017,24017,1.00
24019,24019,1.00
24021,24021,1.00
24023,24023,1.00
24025,24025,1.00
24027,24027,1.00
24029,24029,1.00
24031,24031,1.00
24033,24033,0.99
24035,24035,1.00
24037,24037,1.00
24039,24039,1.00
24041,24041,1.00
24043,24043,1.00
24045,24045,1.00
24047,24047,1.00
24510,24510,1.00
25001,25001,1.00
25003,25003,1.00
25005,25005,1.00
25007,25007,1.00
25009,25009,1.00
25011,25011,1.00
25013,25013,1.00
25015,25015,1.00
25017,25017,1.00
25019,25019,1.00
25021,25021,1.00
25023,25023,1.00
25025,25025,1.00
25027,25027,1.00
26001,26001,0.00
26003,26003,0.00
26005,26005,0.93
26007,26007,0.00
26009,26009,0.00
26011,26011,0.00
26013,26013,0.00
26015,26015,0.89
26017,26017,0.00
26019,26019,0.00
26021,26021,1.00
26023,26023,1.00
26025,26025,1.00
26027,26027,1.00
26029,26029,0.00
26031,26031,0.00
26033,26033,0.00
26035,26035,0.00
26037,26037,0.00
26039,26039,0.00
26041,26041,0.00
26043,26043,0.00
26045,26045,0.48
26047,26047,0.00
26049,26049,0.00
26051,26051,0.00
26053,26053,0.00
26055,26055,0.00
26057,26057,0.00
26059,26059,1.00
26061,26061,0.00
26063,26063,0.00
26065,26065,0.07
26067,26067,0.00
26069,26069,0.00
26071,26071,0.00
26073,26073,0.00
26075,26075,0.77
26077,26077,1.00
26079,26079,0.00
26081,26081,0.10
26083,26083,0.00
26085,26085,0.00
26087,26087,0.00
26089,26089,0.00
26091,26091,0.96
26093,26093,0.00
26095,26095,0.00
26097,26097,0.00
26099,26099,0.00
26101,26101,0.00
26103,26103,0.00
26105,26105,0.00
26107,26107,0.00
26109,26109,0.00
26111,26111,0.00
26113,26113,0.00
26115,26115,0.96
26117,26117,0.00
26119,26119,0.00
26121,26121,0.00
26123,26123,0.00
26125,26125,0.00
26127,26127,0.00
26129,26129,0.00
26131,26131,0.00
26133,26133,0.00
26135,26135,0.00
26137,26137,0.00
26139,26139,0.21
26141,26141,0.00
26143,26143,0.00
26145,26145,0.00
26147,26147,0.00
26149,26149,1.00
26151,26151,0.00
26153,26153,0.00
26155,26155,0.00
26157,26157,0.00
26159,26159,1.00
26161,26161,0.22
26163,26163,0.08
26165,26165,0.00
27001,27001,1.00
27003,27003,1.00
27005,27005,1.00
27007,27007,0.83
27009,27009,1.00
27011,27011,0.82
27013,27013,1.00
27015,27015,1.00
27017,27017,1.00
27019,27019,1.00
27021,27021,1.00
27023,27023,1.00
27025,27025,1.00
27027,27027,0.50
27029,27029,0.78
27031,27031,0.00
27033,27033,0.71
27035,27035,1.00
27037,27037,1.00
27039,27039,1.00
27041,27041,1.00
27043,27043,0.69
27045,27045,0.18
27047,27047,0.74
27049,27049,1.00
27051,27051,1.00
27053,27053,1.00
27055,27055,0.00
27057,27057,1.00
27059,27059,1.00
27061,27061,0.97
27063,27063,0.21
27065,27065,1.00
27067,27067,1.00
27069,27069,0.00
27071,27071,0.40
27073,27073,0.91
27075,27075,0.75
27077,27077,0.00
27079,27079,1.00
27081,27081,0.27
27083,27083,0.59
27085,27085,1.00
27087,27087,0.78
27089,27089,0.00
27091,27091,0.47
27093,27093,1.00
27095,27095,1.00
27097,27097,1.00
27099,27099,0.53
27101,27101,0.12
27103,27103,1.00
27105,27105,0.00
27107,27107,0.38
27109,27109,0.95
27111,27111,1.00
27113,27113,0.00
27115,27115,1.00
27117,27117,0.00
27119,27119,0.13
27121,27121,1.00
27123,27123,1.00
27125,27125,0.00
27127,27127,1.00
27129,27129,1.00
27131,27131,1.00
27133,27133,0.00
27135,27135,0.00
27137,27137,0.90
27139,27139,1.00
27141,27141,1.00
27143,27143,1.00
27145,27145,1.00
27147,27147,1.00
27149,27149,1.00
27151,27151,1.00
27153,27153,1.00
27155,27155,0.82
27157,27157,1.00
27159,27159,1.00
